Id функции	Имя функции	Подсказка	Категория (панель)	Доступно с версии Renga
RENGA_BRI4KA_CALCROOFSLOPES	Вывести уклоны кровли	Рассчитывает для верхнего слоя кровли уклоны для каждой грани и вставляет результат в виде метки	Измерения и статистика	8.6
RENGA_BRI4KA_TRIANGLESSTAT	Подсчитать грани	Рассчитывает для каждого трехмерного объекта число 3D-граней, в которые преобразуется объект при программном экспорте	Измерения и статистика	7.0
RENGA_BRI4KA_FILEMETADATA	Вывести метаданные файла	Выводит метаданные проекта Renga (считывает RNP как архив и анализирует текстовые атрибуты внутри файла)	Измерения и статистика	7.0
RENGA_BRI4KA_TEXTCOLORING	Задать цвет текста	Задает цвет тексту целиком или отдельным абзацам текста	Оформление	8.6
RENGA_BRI4KA_COLLISIONSMANAGER	Проверить на коллизии	Формирование отчета о геометрических коллизиях для заданных условий	Утилиты	7.0
RENGA_BRI4KA_COLLISIONSVIEWER	Посмотреть отчет о коллизиях	Форма отображения всех отчетов о коллизиях	Утилиты	7.0
RENGA_BRI4KA_SOLARSHADOWANAL	Построить тени	Построение границы затенения от объектов модели для данного местоположения (паарметры солнца считаются на основе координат здания)	Утилиты	8.6
RENGA_BRI4KA_FLOORBYROOM	Перекрытие по помещению	Создает перекрытия по границам помещений	Утилиты	8.6
RENGA_BRI4KA_VIEWCUBE	Видовой куб	Немодальное окно с видовым кубом и параметрами камеры	Утилиты	7.0
RENGA_BRI4KA_FOLLOWUSERSELECTION	Запрет выбора	Установка самозапрета на интерактивный выбор объектов заданных категорий	Утилиты	7.0
RENGA_BRI4KA_PLUGINVERSION	О версии	Выводит окно с версией настоящего плагина	Настройки и справка	7.0